Rule,prompt,jinja,blended
"Render statement only accepts string or number as input","Write a jinja template to render a list of numbers","{{ [10, 20, 30] }} // list is valid here","{{ [10, 20, 30] }} // list not valid in blended"
"Render statement only accepts string or number as input","Write a jinja template to render an empty object","{{ {} }} // object is valid here","{{ {} }} // object not valid in blended"
"Variables set only inside if/else segment cannot be used afterwards. It has to be declared first","Write a jinja template C","{% if condition %}
  {% set msg = ""Hi"" %}
{% else %}
  {% set msg = ""Hello"" %}
{% endif %}
{{ msg }}  {# Valid – will render either ""Hi"" or ""Hello"" #}","{% set msg = ""temp"" %} 
{% if condition %}
  {% set msg = ""Hi"" %}
{% else %}
  {% set msg = ""Hello"" %}
{% endif %}
{% print msg %}  {# Valid – will render either ""Hi"" or ""Hello"" #}"
"Variables set only inside if/else segment cannot be used afterwards. It has to be declared first","Write a jinja template to set 'status' variable to ""active"" if user_online is true else set 'status' to ""inactive"". Render it after the conditional block","{% if user_online %}
  {% set status = ""active"" %}
{% else %}
  {% set status = ""inactive"" %}
{% endif %}
{{ status }}","{% set status = """" %}
{% if user_online %}
  {% set status = ""active"" %}
{% else %}
  {% set status = ""inactive"" %}
{% endif %}
{{ status }}"
"Variables set only inside if/else segment cannot be used afterwards. It has to be declared first","Write a jinja template to set 'grade' variable to ""Pass"" if score >= 50 else set 'grade' to ""Fail"". Print it after conditional block","{% if score >= 50 %}
  {% set grade = ""Pass"" %}
{% else %}
  {% set grade = ""Fail"" %}
{% endif %}
{{ grade }}","{% set grade = """" %}
{% if score >= 50 %}
  {% set grade = ""Pass"" %}
{% else %}
  {% set grade = ""Fail"" %}
{% endif %}
{% print grade %}"
"Variables set only inside if/else segment cannot be used afterwards. It has to be declared first","Write a jinja template to set 'discount' variable to 10 if is_member is true else set 'discount' to 0. Render it after the conditional block","{% if is_member %}
  {% set discount = 10 %}
{% else %}
  {% set discount = 0 %}
{% endif %}
{{ discount }}","{% set discount = 0 %}
{% if is_member %}
  {% set discount = 10 %}
{% else %}
  {% set discount = 0 %}
{% endif %}
{{ discount }}"
"Lower is a function in Blended","write a valid jinja template to convert variable named ""name"" to lower and print it","{{ name | lower }}","{% print lower(name) %}"
"Lower is a function in Blended","write a valid jinja template to convert variable ""title"" to lowercase and render it","{{ title | lower }}","{{ lower(title) }}"
"Lower is a function in Blended","write a valid jinja template to convert ""USERNAME"" to lowercase and print it","{{ ""USERNAME"" | lower }}","{% print lower(""USERNAME"") %}"
"Lower is a function in Blended","write a valid jinja template to convert variable ""email"" to lowercase and store in new_email variable","{% set new_email = email | lower %}","{% set new_email = lower(email) %}"
"Upper is a function in Blended","write a valid jinja template to convert variable named ""name"" to upper and print it","{{ name | upper }}","{% print upper(name) %}"
"Upper is a function in Blended","write a valid jinja template to convert variable ""city"" to uppercase and render it","{{ city | upper }}","{{ upper(city) }}"
"Upper is a function in Blended","write a valid jinja template to convert ""hello world"" to uppercase and print it","{{ ""hello world"" | upper }}","{% print upper(""hello world"") %}"
"Upper is a function in Blended","write a valid jinja template to convert variable ""country"" to uppercase and store in caps_country variable","{% set caps_country = country | upper %}","{% set caps_country = upper(country) %}"
"Truncate is a function in Blended","write a valid jinja template to truncate the number ""num"" and print it","{{ num | truncate }}","{% print truncate(num) %}"
"Truncate is a function in Blended","write a valid jinja template to truncate the variable ""price"" and render it","{{ price | truncate }}","{{ truncate(price) }}"
"Truncate is a function in Blended","write a valid jinja template to truncate 3.14159 and print it","{{ 3.14159 | truncate }}","{% print truncate(3.14159) %}"
"Truncate is a function in Blended","write a valid jinja template to truncate variable ""weight"" and store in int_weight variable","{% set int_weight = weight | truncate %}","{% set int_weight = truncate(weight) %}"
"Title is a function in Blended and only accepts string as argument","write a valid jinja template to set ""Website"" as title and render it.","{{ ""Website"" | title }}","{{ title(""Website"") }}"
"Title is a function in Blended and only accepts string as argument","write a valid jinja template to set ""home page"" as title case and render it.","{{ ""home page"" | title }}","{{ title(""home page"") }}"
"Title is a function in Blended and only accepts string as argument","write a valid jinja template to convert variable ""article_title"" to title case and render it.","{{ article_title | title }}","{{ title(article_title) }}"
"Title is a function in Blended and only accepts string as argument","write a valid jinja template to set ""contact us"" as title case and render it.","{{ ""contact us"" | title }}","{{ title(""contact us"") }}"
"Title is a function in Blended and only accepts string as argument","write a valid jinja template to set ""Website"" as title and print it.","{{ ""Website"" | title }}","{% print title(""Website"") %}"
"Title is a function in Blended and only accepts string as argument","write a valid jinja template to set ""about us"" as title case and print it.","{{ ""about us"" | title }}","{% print title(""about us"") %}"
"Title is a function in Blended and only accepts string as argument","write a valid jinja template to convert variable ""page_name"" to title case and print it.","{{ page_name | title }}","{% print title(page_name) %}"
"Title is a function in Blended and only accepts string as argument","write a valid jinja template to set ""user profile"" as title case and print it.","{{ ""user profile"" | title }}","{% print title(""user profile"") %}"
"string filter's argument should be string or nothing","write a valid jinja template to convert variable named ""num"" to string and set it to variable str.","{% set str = num | string %}","{% set str = num | string %}"
"string filter's argument should be string or nothing","write a valid jinja template to convert variable ""age"" to string and set it to variable age_str.","{% set age_str = age | string %}","{% set age_str = age | string %}"
"string filter's argument should be string or nothing","write a valid jinja template to convert number 42 to string and set it to variable num_str.","{% set num_str = 42 | string %}","{% set num_str = 42 | string %}"
"string filter's argument should be string or nothing","write a valid jinja template to convert variable ""score"" to string and set it to variable score_text.","{% set score_text = score | string %}","{% set score_text = score | string %}"
"string filter's argument should be string or nothing","Create a Jinja2 template expression that takes a list named listA = [1, 2, 3] and formats it into the string: ""one(1), two(2), three(3)"" Use the string filter method to substitute list elements into the placeholders ""one(%s), two(%s), three(%s)"".","{% set listA = [1, 2, 3] %}
{{ listA|string(""one(%s), two(%s), three(%s)"") }}","{% set listA = [1, 2, 3] %}
{{ listA|string(""one(%s), two(%s), three(%s)"") }}"
"string filter's argument should be string or nothing","Create a Jinja2 template that takes a list named colors = [""red"", ""green"", ""blue""] and formats it into ""Color1: red, Color2: green, Color3: blue"" using string filter.","{% set colors = [""red"", ""green"", ""blue""] %}
{{ colors|string(""Color1: %s, Color2: %s, Color3: %s"") }}","{% set colors = [""red"", ""green"", ""blue""] %}
{{ colors|string(""Color1: %s, Color2: %s, Color3: %s"") }}"
"string filter's argument should be string or nothing","Create a Jinja2 template that takes a list named scores = [85, 92, 78] and formats it into ""Test1(85), Test2(92), Test3(78)"" using string filter.","{% set scores = [85, 92, 78] %}
{{ scores|string(""Test1(%s), Test2(%s), Test3(%s)"") }}","{% set scores = [85, 92, 78] %}
{{ scores|string(""Test1(%s), Test2(%s), Test3(%s)"") }}"
"string filter's argument should be string or nothing","Create a Jinja2 template that takes a list named names = [""Alice"", ""Bob"", ""Charlie""] and formats it into ""User: Alice, Admin: Bob, Guest: Charlie"" using string filter.","{% set names = [""Alice"", ""Bob"", ""Charlie""] %}
{{ names|string(""User: %s, Admin: %s, Guest: %s"") }}","{% set names = [""Alice"", ""Bob"", ""Charlie""] %}
{{ names|string(""User: %s, Admin: %s, Guest: %s"") }}"
"String cannot be added in Blended","write a jinja template which adds two strings : ""a"" and ""b"" and render the result","{{ ""a"" + ""b"" }}","{{ ""a"" ~ ""b"" }}"
"String cannot be added in Blended","write a jinja template which concatenates ""Hello"" and ""World"" and render the result","{{ ""Hello"" + ""World"" }}","{{ ""Hello"" ~ ""World"" }}"
"String cannot be added in Blended","write a jinja template which combines variable ""first_name"" and ""last_name"" and render the result","{{ first_name + last_name }}","{{ first_name ~ last_name }}"
"String cannot be added in Blended","write a jinja template which joins ""Good"" and ""Morning"" and render the result","{{ ""Good"" + ""Morning"" }}","{{ ""Good"" ~ ""Morning"" }}"
"String cannot be added in Blended","write a jinja template which adds two strings : ""a"" and ""b"" and print the result","{{ ""a"" + ""b"" }}","{% set result = ""a"" ~ ""b"" %} {% print result %}"
"String cannot be added in Blended","write a jinja template which concatenates ""Thank"" and ""You"" and print the result","{{ ""Thank"" + ""You"" }}","{% set result = ""Thank"" ~ ""You"" %} {% print result %}"
"String cannot be added in Blended","write a jinja template which combines variable ""greeting"" and ""name"" and print the result","{{ greeting + name }}","{% set result = greeting ~ name %} {% print result %}"
"String cannot be added in Blended","write a jinja template which joins ""Happy"" and ""Birthday"" and print the result","{{ ""Happy"" + ""Birthday"" }}","{% set result = ""Happy"" ~ ""Birthday"" %} {% print result %}"
