task,jinja
"161. convert ""user profile settings"" to title case, then set ""page_title"" to result, then print it
","```jinja2
{% set page_title = ""user profile settings"" | title %}
{{ page_title }}
```"
"162. set variable ""size"" to ""large"" if quantity > 10, else ""small"", then convert to uppercase and render it
","```jinja2
{{ 'large' if quantity > 10 else 'small' | upper }}
```"
"163. concatenate ""Order #"" and variable ""order_id"", then set ""order_label"" to result, then print it
","```jinja2
{% set order_label = ""Order #"" ~ order_id %}
{{ order_label }}
```"
"164. convert variable ""server_name"" to lowercase, then concatenate with "".local"" and print ""Server: "" + result
","```jinja2
Server: {{ server_name.lower() + '.local' }}
```"
"165. set variable ""notification"" to ""enabled"" if alerts is true, else ""disabled"", then print ""Alerts: "" + notification
","```jinja2
{% set notification = ""enabled"" if alerts else ""disabled"" %}
Alerts: {{ notification }}
```"
"166. truncate variable ""rating"", then set ""stars"" to result + "" stars"", then render it
","```jinja2
{{ rating[:3] + "" stars"" }}
```"
"167. convert ""BACKUP COMPLETED"" to title case, then set ""status_msg"" to result, then print it
","```jinja2
{% set status_msg = ""BACKUP COMPLETED"" | title %}
{{ status_msg }}
```"
"168. set variable ""connection"" to ""secure"" if ssl is true, else ""insecure"", then render ""Connection: "" + connection
","```jinja2
{% set connection = ""secure"" if ssl else ""insecure"" %}
Connection: {{ connection }}
```"
"169. concatenate variable ""protocol"" and ""://"" and variable ""hostname"", then print ""URL: "" + result
","```jinja2
URL: {{ protocol }}://{{ hostname }}
```"
"170. convert variable ""error_type"" to uppercase, then set ""error_label"" to ""ERROR: "" + result, then print it
","```jinja2
{% set error_label = ""ERROR: "" ~ error_type|upper %}
{{ error_label }}
```"
"171. set variable ""visibility"" to ""public"" if shared is true, else ""private"", then render ""Status: "" + visibility
","```jinja2
{% set visibility = ""public"" if shared else ""private"" %}
Status: {{ visibility }}
```"
"172. truncate variable ""duration"", then convert to string and concatenate with "" minutes"", then print it
","```jinja2
{{ duration|truncate(3) ~ ' minutes' }}
```"
"173. convert ""system administrator"" to title case, then set ""role_name"" to result, then render it
","```jinja2
{% set role_name = ""system administrator"" | title %}
{{ role_name }}
```"
"174. set variable ""format"" to ""json"" if api_version > 1, else ""xml"", then print ""Format: "" + format
","```jinja2
{% set format = ""json"" if api_version > 1 else ""xml"" %}
Format: {{ format }}
```"
"175. concatenate ""Build "" and variable ""build_number"", then convert to uppercase and render it
","```jinja2
{{ (""Build "" ~ build_number).upper() }}
```"
"176. convert variable ""environment"" to lowercase, then set ""env_name"" to result + ""_env"", then print it
","```jinja2
{{ environment.lower() + ""_env"" }}
```"
"177. set variable ""compression"" to ""enabled"" if file_size > 1000, else ""disabled"", then render ""Compression: "" + compression
","```jinja2
{% set compression = ""enabled"" if file_size > 1000 else ""disabled"" %}
Compression: {{ compression }}
```"
"178. truncate variable ""version_number"", then set ""version"" to ""v"" + result, then print it
","```jinja2
{% set version_number = ""1.2.3.4.5"" %}
{% set version = ""v"" + version_number[:3] %}
{{ version }}
```"
"179. convert ""DATA MIGRATION"" to title case, then concatenate with "" Process"" and render the result
","```jinja2
{{ ""DATA MIGRATION"" | title ~ "" Process"" }}
```"
"180. set variable ""encryption"" to ""on"" if secure_mode is true, else ""off"", then print ""Encryption: "" + encryption
","```jinja2
{% set encryption = ""on"" if secure_mode else ""off"" %}
Encryption: {{ encryption }}
```"
"181. concatenate variable ""user_type"" and ""_user"", then convert to uppercase and render ""Type: "" + result
","```jinja2
Type: {{ user_type ~ '_user' | upper }}
```"
"182. convert variable ""service_name"" to title case, then set ""display_name"" to result + "" Service"", then print it
","```jinja2
{{ service_name | title ~ ' Service' }}
```"
"183. set variable ""cache"" to ""enabled"" if performance_mode is true, else ""disabled"", then render ""Cache: "" + cache
","```jinja2
{% set cache = ""enabled"" if performance_mode else ""disabled"" %}
Cache: {{ cache }}
```"
"184. truncate variable ""memory_usage"", then concatenate with ""MB"" and print ""Memory: "" + result
","```jinja2
Memory: {{ memory_usage | truncate(3) }}MB
```"
"185. convert ""CONFIGURATION LOADED"" to title case, then set ""config_status"" to result, then render it
","```jinja2
{% set config_status = ""CONFIGURATION LOADED"" | title %}
{{ config_status }}
```"
"186. set variable ""logging"" to ""verbose"" if debug_mode is true, else ""minimal"", then print ""Logging: "" + logging
","```jinja2
{% set logging = ""verbose"" if debug_mode else ""minimal"" %}
Logging: {{ logging }}
```"
"187. concatenate ""Session "" and variable ""session_id"", then convert to lowercase and render it
","```jinja2
{{ ""Session "" ~ session_id | lower }}
```"
"188. convert variable ""module_name"" to uppercase, then set ""module_label"" to ""MODULE: "" + result, then print it
","```jinja2
{% set module_label = ""MODULE: "" ~ module_name|upper %}
{{ module_label }}
```"
"189. set variable ""backup"" to ""automatic"" if scheduled is true, else ""manual"", then render ""Backup: "" + backup
","```jinja2
{% set backup = ""automatic"" if scheduled else ""manual"" %}
Backup: {{ backup }}
```"
"190. truncate variable ""disk_space"", then set ""storage"" to result + ""GB"", then print ""Storage: "" + storage
","```jinja2
{% set storage = disk_space | truncate(3) ~ ""GB"" %}
Storage: {{ storage }}
```"
"191. convert ""network connection"" to title case, then concatenate with "" Status"" and render the result
","```jinja2
{{ ""network connection"" | title ~ "" Status"" }}
```"
"192. set variable ""authentication"" to ""required"" if security_level > 2, else ""optional"", then print ""Auth: "" + authentication
","```jinja2
{% set authentication = ""required"" if security_level > 2 else ""optional"" %}
Auth: {{ authentication }}
```"
"193. concatenate variable ""hostname"" and "":"" and variable ""port"", then set ""endpoint"" to result, then render it
","```jinja2
{% set endpoint = hostname ~ "":"" ~ port %}
{{ endpoint }}
```"
"194. convert variable ""task_name"" to title case, then set ""task_label"" to result + "" Task"", then print it
","```jinja2
{{ task_name|title ~ ' Task' }}
```"
"195. set variable ""monitoring"" to ""active"" if health_check is true, else ""inactive"", then render ""Monitoring: "" + monitoring
","```jinja2
{% set monitoring = ""active"" if health_check else ""inactive"" %}
Monitoring: {{ monitoring }}
```"
"196. truncate variable ""response_time"", then concatenate with ""ms"" and print ""Response: "" + result
","```jinja2
Response: {{ response_time[:3] }}ms
```"
"197. convert ""PROCESS COMPLETED"" to title case, then set ""completion_msg"" to result, then render it
","```jinja2
{% set completion_msg = ""process completed"" | title %}
{{ completion_msg }}
```"
"198. set variable ""synchronization"" to ""enabled"" if sync_mode is true, else ""disabled"", then print ""Sync: "" + synchronization
","```jinja2
{% set synchronization = ""enabled"" if sync_mode else ""disabled"" %}
Sync: {{ synchronization }}
```"
"199. concatenate ""Report "" and variable ""report_id"" and "" - "" and variable ""report_date"", then render the result
","```jinja2
Report {{ report_id }} - {{ report_date }}
```"
"200. convert variable ""operation_status"" to uppercase, then set ""final_status"" to ""OPERATION: "" + result, then print it","```jinja2
{% set final_status = ""OPERATION: "" ~ operation_status | upper %}
{{ final_status }}
```"
