task,jinja
"86. convert ""help center"" to title case and render it
","```jinja2
{{ ""help center"" | title }}
```"
"87. truncate the number 123.456 and print it
","```
{{ 123.456 | round(0) }}
```"
"88. convert the number 404 to string and store in ""error_code""
","```jinja2
{{ error_code = ""404"" }}
```"
"89. concatenate ""Error "" and variable ""error_msg"" and print it
","```jinja2
{{ ""Error "" + error_msg }}
```"
"90. join ""Import"" and ""Export"" and render the result
","```jinja2
{{ ""Import"" + ""Export"" }}
```"
"91. set variable ""format"" to ""json"" and print it
","```
{{ format = ""json"" }}
{{ format }}
```"
"92. print the string ""Backup completed""
","```
{{ ""Backup completed"" }}
```"
"93. render the number 7.5
","```
{{ 7.5 }}
```"
"94. convert ""CREDENTIALS"" to lowercase and print it
","```
{{ ""CREDENTIALS"".lower() }}
```"
"95. convert variable ""module"" to uppercase and render it
","```jinja2
{{ module.upper() }}
```"
"96. convert ""terms of service"" to title case and print it
","```jinja2
{{ ""terms of service"".title() }}
```"
"97. truncate variable ""distance"" and print it
","```jinja2
{{ distance|truncate(5) }}
```"
"98. convert variable ""limit"" to string and store in ""max_limit""
","```jinja2
{% set max_limit = limit|to_string %}
```"
"99. concatenate ""Total: "" and variable ""sum"" and render it
","```jinja2
Total: {{ sum }}
```"
"100. join ""Start"" and ""Stop"" and print it
","```
{{ ""Start"" ~ ""Stop"" }}
```"
"101. set variable ""encoding"" to ""utf-8"" and render it
","```
{{ encoding = ""utf-8"" }}
```"
"102. print the string ""Session expired""
","```
{{ ""Session expired"" }}
```"
"103. render the number 24
","```
{{ 24 }}
```"
"104. convert ""AUTHORIZATION"" to lowercase and print it
","```jinja2
{{ ""AUTHORIZATION"".lower() }}
```"
"105. convert ""quick start"" to title case and render it
","```jinja2
{{ ""quick start"" | title }}
```"
"106. truncate the number 89.12 and print it
","```
{{ 89.12 | round(0) }}
```"
"107. convert the number 500 to string and store in ""server_error""
","```jinja2
{{ server_error = ""500"" }}
```"
"108. concatenate ""Status: "" and variable ""current_status"" and print it
","```jinja2
{{ ""Status: "" + current_status }}
```"
"109. join ""Upload"" and ""Download"" and render the result
","```jinja2
{{ ""Upload"" + ""Download"" }}
```"
"110. set variable ""version"" to ""1.0"" and print it
","```
{{ version = ""1.0"" }}
{{ version }}
```"
"111. print the string ""Permission denied""
","```
{{ ""Permission denied"" }}
```"
"112. render the number 60
","```
{{ 60 }}
```"
"113. convert ""AUTHENTICATION"" to lowercase and print it
","```jinja2
{{ ""AUTHENTICATION"".lower() }}
```"
"114. convert variable ""component"" to uppercase and render it
","```jinja2
{{ component.upper() }}
```"
"115. convert ""user guide"" to title case and print it
","```jinja2
{{ ""user guide"" | title }}
```"
"116. truncate variable ""percentage"" and print it
","```jinja2
{{ percentage|truncate(2) }}
```"
"117. convert variable ""code"" to string and store in ""response_code""
","```jinja2
{{ response_code = str(code) }}
```"
"118. concatenate ""Message: "" and variable ""notification"" and render it
","```jinja2
{{ 'Message: ' + notification }}
```"
"119. join ""Create"" and ""Delete"" and print it
","```
{{ ""Create"" + ""Delete"" }}
```"
"120. set variable ""method"" to ""POST"" and render it
","```
{{ method = ""POST"" }}
```"
"121. print the string ""Server running""
","```
{{ ""Server running"" }}
```"
"122. render the number 8080
","```
{{ 8080 }}
```"
"123. convert ""VALIDATION"" to lowercase and print it
","```jinja2
{{ ""VALIDATION"".lower() }}
```"
"124. convert ""dashboard"" to title case and render it
","```jinja2
{{ ""dashboard"" | title }}
```"
"125. truncate the number 67.89 and print it
","```
{{ 67.89 | round(0) }}
```"
"126. convert the number 1024 to string and store in ""memory_size""
","```
{{ memory_size = ""1024"" }}
```"
"127. concatenate ""User "" and variable ""username"" and "" logged in"" and print it
","```
{{ ""User "" + username + "" logged in"" }}
```"
"128. join ""Yes"" and ""No"" and render the result
","```jinja2
{{ ""Yes"" | join(""No"") }}
```"
"129. set variable ""state"" to ""enabled"" and print it
","```
{{ state = ""enabled"" }}
{{ state }}
```"
"130. print the string ""Process failed""
","```
{{ ""Process failed"" }}
```"
"131. render the number 30
","```
{{ 30 }}
```"
"132. convert ""MIGRATION"" to lowercase and print it
","```jinja2
{{ ""MIGRATION"".lower() }}
```"
"133. convert variable ""service"" to uppercase and render it
","```jinja2
{{ service.upper() }}
```"
"134. convert ""getting started"" to title case and print it
","```jinja2
{{ ""getting started"".title() }}
```"
"135. truncate variable ""rating"" and print it
","```jinja2
{{ rating|truncate(3) }}
```"
"136. convert variable ""length"" to string and store in ""str_length""
","```
{% set str_length = length|tostring %}
```"
"137. concatenate ""Welcome "" and variable ""visitor"" and render it
","```jinja2
{{ 'Welcome ' + visitor }}
```"
"138. join ""On"" and ""Off"" and print it
","```jinja2
{{ ""On"" + ""Off"" }}
```"
"139. set variable ""type"" to ""admin"" and render it
","```jinja2
{{ type = ""admin"" }}
```"
"140. print the string ""Transaction complete""
","```
{{ ""Transaction complete"" }}
```"
"141. set variable ""result"" to ""pass"" if score >= 60, else ""fail"", then print it
","```
{% set result = ""pass"" if score >= 60 else ""fail"" %}
{{ result }}
```"
"142. set variable ""discount"" to 10 if is_member is true, else 0, then render it
","```
{% set discount = is_member ? 10 : 0 %}
{{ discount }}
```"
"143. set variable ""greeting"" to ""Good morning"" if time < 12, else ""Good evening"", then print it
","```
{% set greeting = ""Good morning"" if time < 12 else ""Good evening"" %}
{{ greeting }}
```"
"144. set variable ""access"" to ""granted"" if role == ""admin"", else ""denied"", then render it
","```
{% set access = ""granted"" if role == ""admin"" else ""denied"" %}
```"
"145. convert variable ""email"" to lowercase, then concatenate with ""@domain.com"" and print it
","```jinja2
{{ email|lower }}@domain.com
```"
"146. convert ""PRODUCT NAME"" to title case, then concatenate with "" - Available"" and render it
","```jinja2
{{ ""PRODUCT NAME"" | title }} - Available
```"
"147. truncate variable ""price"", convert to string, then concatenate with "" USD"" and print it
","```
{{ price|float|int|str }} USD
```"
"148. set variable ""status"" to ""online"" if active is true, else ""offline"", then convert to uppercase and print it
","```jinja2
{% set status = 'online' if active else 'offline' %}
{{ status.upper() }}
```"
"149. concatenate ""Hello "" and variable ""name"", then convert the result to title case and render it
","```jinja2
{{ name|title }}
```"
"150. set variable ""level"" to 1 if experience < 5, else 2, then convert to string and print ""Level: "" + result
","```jinja2
{% set level = 1 if experience < 5 else 2 %}
{{ ""Level: "" + level }}
```"
"151. convert variable ""title"" to lowercase, then set ""formatted_title"" to result + "" - draft"", then print it
","```jinja2
{{ title.lower() + "" - draft"" }}
```"
"152. set variable ""message"" to ""Welcome back"" if returning_user is true, else ""Welcome"", then print with ""!""
","```jinja2
{% if returning_user %}
  {{ message = ""Welcome back"" }}
{% else %}
  {{ message = ""Welcome"" }}
{% endif %}
{{ message }}!
```"
"153. truncate variable ""score"", then set ""grade"" to ""A"" if result >= 90 else ""B"", then print ""Grade: "" + grade
","```jinja2
{% set score_truncated = score | string(length=2) %}
{% set grade = ""A"" if score_truncated >= ""90"" else ""B"" %}
Grade: {{ grade }}
```"
"154. convert ""CUSTOMER SUPPORT"" to title case, then set ""department"" to result, then render with "" Team""
","```jinja2
{{ CUSTOMER_SUPPORT|title }} Team
```"
"155. set variable ""priority"" to ""high"" if urgent is true, else ""normal"", then convert to uppercase and print it
","```jinja2
{% set priority = ""high"" if urgent else ""normal"" %}
{{ priority.upper() }}
```"
"156. concatenate variable ""first_name"" and ""last_name"" with space, then convert to title case and render it
","```jinja2
{{ first_name|title }} {{ last_name|title }}
```"
"157. set variable ""mode"" to ""debug"" if development is true, else ""production"", then print ""Mode: "" + mode
","```jinja2
{% set mode = ""debug"" if development else ""production"" %}
Mode: {{ mode }}
```"
"158. convert variable ""category"" to uppercase, then set ""section"" to result + "" ITEMS"", then print it
","```jinja2
{{ category.upper() + "" ITEMS"" }}
```"
"159. truncate variable ""amount"", then concatenate with "" dollars"" and store in ""formatted_amount"", then print it
","```jinja2
{{ formatted_amount = amount | truncate(3) + "" dollars"" }}
{{ formatted_amount }}
```"
"160. set variable ""theme"" to ""dark"" if preference == ""night"", else ""light"", then render ""Theme: "" + theme
","```
{% set theme = ""dark"" if preference == ""night"" else ""light"" %}
Theme: {{ theme }}
```"
"161. convert ""user profile settings"" to title case, then set ""page_title"" to result, then print it
","```jinja2
{{ user_profile_settings.title()|title }}<br>
{{ page_title = user_profile_settings.title()|title }}
{{ page_title }}
```"
"162. set variable ""size"" to ""large"" if quantity > 10, else ""small"", then convert to uppercase and render it
","```jinja2
{{ size = 'large' if quantity > 10 else 'small' }}
{{ size.upper() }}
```"
"163. concatenate ""Order #"" and variable ""order_id"", then set ""order_label"" to result, then print it
","```jinja2
{{ order_label = ""Order #"" + order_id }}
{{ order_label }}
```"
"164. convert variable ""server_name"" to lowercase, then concatenate with "".local"" and print ""Server: "" + result
","```jinja2
{{ 'Server: ' + server_name.lower() + '.local' }}
```"
"165. set variable ""notification"" to ""enabled"" if alerts is true, else ""disabled"", then print ""Alerts: "" + notification
","```jinja2
{% set notification = ""enabled"" if alerts else ""disabled"" %}
Alerts: {{ notification }}
```"
"166. truncate variable ""rating"", then set ""stars"" to result + "" stars"", then render it
","```jinja2
{{ rating|truncate(3) }} stars
```"
"167. convert ""BACKUP COMPLETED"" to title case, then set ""status_msg"" to result, then print it
","```jinja2
{{ status_msg = ""BACKUP COMPLETED"".title() }}
{{ print(status_msg) }}
```"
"168. set variable ""connection"" to ""secure"" if ssl is true, else ""insecure"", then render ""Connection: "" + connection
","```
{% set connection = ""secure"" if ssl else ""insecure"" %}
Connection: {{ connection }}
```"
"169. concatenate variable ""protocol"" and ""://"" and variable ""hostname"", then print ""URL: "" + result
","```jinja2
{{ protocol }}://{{ hostname }}
```"
"170. convert variable ""error_type"" to uppercase, then set ""error_label"" to ""ERROR: "" + result, then print it
","```jinja2
{{ error_type.upper() }}: {{ 'ERROR: ' + error_type.upper() }}
```"
"171. set variable ""visibility"" to ""public"" if shared is true, else ""private"", then render ""Status: "" + visibility
","```jinja2
{% set visibility = ""public"" if shared else ""private"" %}
Status: {{ visibility }}
```"
"172. truncate variable ""duration"", then convert to string and concatenate with "" minutes"", then print it
","```jinja2
{{ duration|truncate(0)|string }} minutes
```"
"173. convert ""system administrator"" to title case, then set ""role_name"" to result, then render it
","```jinja2
{{ system_administrator|title }}|role_name
```"
"174. set variable ""format"" to ""json"" if api_version > 1, else ""xml"", then print ""Format: "" + format
","```
{% set format = ""json"" if api_version > 1 else ""xml"" %}
Format: {{ format }}
```"
"175. concatenate ""Build "" and variable ""build_number"", then convert to uppercase and render it
","```
{{ 'Build ' + build_number | upper }}
```"
"176. convert variable ""environment"" to lowercase, then set ""env_name"" to result + ""_env"", then print it
","```jinja2
{{ env_name = environment.lower() + ""_env"" }}
{{ env_name }}
```"
"177. set variable ""compression"" to ""enabled"" if file_size > 1000, else ""disabled"", then render ""Compression: "" + compression
","```jinja2
{% set compression = ""enabled"" if file_size > 1000 else ""disabled"" %}
Compression: {{ compression }}
```"
"178. truncate variable ""version_number"", then set ""version"" to ""v"" + result, then print it
","```jinja2
{{ version_number | truncate }} | set version = ""v"" + result | print
```"
"179. convert ""DATA MIGRATION"" to title case, then concatenate with "" Process"" and render the result
","```jinja2
{{ ""DATA MIGRATION"".title() + "" Process"" }}
```"
"180. set variable ""encryption"" to ""on"" if secure_mode is true, else ""off"", then print ""Encryption: "" + encryption
","```
{% set encryption = ""on"" if secure_mode else ""off"" %}
Encryption: {{ encryption }}
```"
"181. concatenate variable ""user_type"" and ""_user"", then convert to uppercase and render ""Type: "" + result
","```jinja2
{{ 'Type: ' + user_type + '_user'.upper() }}
```"
"182. convert variable ""service_name"" to title case, then set ""display_name"" to result + "" Service"", then print it
","```jinja2
{{ service_name|title }} Service
```"
"183. set variable ""cache"" to ""enabled"" if performance_mode is true, else ""disabled"", then render ""Cache: "" + cache
","```jinja2
{% set cache = ""enabled"" if performance_mode else ""disabled"" %}
Cache: {{ cache }}
```"
"184. truncate variable ""memory_usage"", then concatenate with ""MB"" and print ""Memory: "" + result
","```jinja2
{{ ""Memory: "" + memory_usage | truncate(3) + ""MB"" }}
```"
"185. convert ""CONFIGURATION LOADED"" to title case, then set ""config_status"" to result, then render it
","```jinja2
{{ ""CONFIGURATION LOADED"".title() | set('config_status') }}
```"
"186. set variable ""logging"" to ""verbose"" if debug_mode is true, else ""minimal"", then print ""Logging: "" + logging
","```
{% set logging = ""verbose"" if debug_mode else ""minimal"" %}
Logging: {{ logging }}
```"
"187. concatenate ""Session "" and variable ""session_id"", then convert to lowercase and render it
","```jinja2
{{ session_id|lower|concat('Session ') }}
```"
"188. convert variable ""module_name"" to uppercase, then set ""module_label"" to ""MODULE: "" + result, then print it
","```jinja2
{{ module_name.upper() }}: {{ 'MODULE: ' + module_name.upper() }}
```"
"189. set variable ""backup"" to ""automatic"" if scheduled is true, else ""manual"", then render ""Backup: "" + backup
","```
{% set backup = ""automatic"" if scheduled else ""manual"" %}
Backup: {{ backup }}
```"
"190. truncate variable ""disk_space"", then set ""storage"" to result + ""GB"", then print ""Storage: "" + storage
","```jinja2
{{ disk_space|truncate|add('GB')|upper }} GB
```"
"191. convert ""network connection"" to title case, then concatenate with "" Status"" and render the result
","```jinja2
{{ ""network connection"".title() + "" Status"" }}
```"
"192. set variable ""authentication"" to ""required"" if security_level > 2, else ""optional"", then print ""Auth: "" + authentication
","```jinja2
{% set authentication = ""required"" if security_level > 2 else ""optional"" %}
Auth: {{ authentication }}
```"
"193. concatenate variable ""hostname"" and "":"" and variable ""port"", then set ""endpoint"" to result, then render it
","```
{{ endpoint = hostname + "":"" + port }}
```"
"194. convert variable ""task_name"" to title case, then set ""task_label"" to result + "" Task"", then print it
","```jinja2
{{ task_name|title }} Task
```"
"195. set variable ""monitoring"" to ""active"" if health_check is true, else ""inactive"", then render ""Monitoring: "" + monitoring
","```
{% set monitoring = ""active"" if health_check else ""inactive"" %}
Monitoring: {{ monitoring }}
```"
"196. truncate variable ""response_time"", then concatenate with ""ms"" and print ""Response: "" + result
","```jinja2
{{ 'Response: ' + response_time | truncate(3) + 'ms' }}
```"
"197. convert ""PROCESS COMPLETED"" to title case, then set ""completion_msg"" to result, then render it
","```jinja2
{{ completion_msg = PROCESS_COMPLETED | title }}
{{ completion_msg }}
```"
"198. set variable ""synchronization"" to ""enabled"" if sync_mode is true, else ""disabled"", then print ""Sync: "" + synchronization
","```jinja2
{% set synchronization = ""enabled"" if sync_mode else ""disabled"" %}
Sync: {{ synchronization }}
```"
"199. concatenate ""Report "" and variable ""report_id"" and "" - "" and variable ""report_date"", then render the result
","```jinja2
{{ ""Report "" + report_id + "" - "" + report_date }}
```"
"200. convert variable ""operation_status"" to uppercase, then set ""final_status"" to ""OPERATION: "" + result, then print it","```jinja2
{{ operation_status.upper() }}: {{ 'OPERATION: ' + operation_status.upper() }}
```"
