prompt,jinja,blended,Correct/Incorrect,Incorrect code
"45. print the string ""Process completed"" and then render it after converting to lowercase","{{ ""Process completed"" }}
{{ ""Process completed"" | lower }}","{% print ""Process completed"" }
{{ lower(""Process completed"") }}",Correct,
"46. Store the number 1000 in a variable ""num"", then render it after joining it with 12","{% set num = 1000 %}
{{ num | string + ""12"" }}","{% set num = 1000 %}
{{ num | string ~ ""12"" }}",Correct,
"47. convert ""SYSTEM"" to lowercase and print it","{{ ""SYSTEM"".lower() }}
","{% print lower(""SYSTEM"") %}",Correct,
"48. convert ""contact us"" to title case and render it","{{ ""contact us"" | title }}","{{ title(""contact us"")}}",Correct,
"141. set variable ""result"" to ""pass"" if score >= 60, else ""fail"", then print it","{% set result = ""pass"" if score >= 60 else ""fail"" %}
{{ result }}","{% set result = """" %} {% if score >= 60 %} {% set result = ""pass"" %} {% else %} {% set result = ""fail"" %} {% endif %} {% print result %}",Correct,
"143. set variable ""greeting"" to ""Good morning"" if time < 12, else ""Good evening"", then print it","{% set greeting = ""Good morning"" if time < 12 else ""Good evening"" %}
{{ greeting }}","{% set greeting = """" %} {% if time < 12 %} {% set greeting = ""Good morning"" %} {% else %} {% set greeting = ""Good evening"" %} {% endif %} {{greeting}}",Correct,
"144. set variable ""access"" to ""granted"" if role == ""admin"", else ""denied"", then render it","{% set access = ""granted"" if role == ""admin"" else ""denied"" %}","{% set access = """" %} {% if role == ""admin"" %} {% set access = ""granted"" %} {% else %} {% set access = ""denied"" %} {% endif %} {{access}}",Correct,
"145. convert variable ""email"" to lowercase, then concatenate with ""@domain.com"" and print it",{{ email|lower }}@domain.com,"{% set temp = lower(email)  ~ ""@domain.com"" %} {% print temp %}",Correct,"
{{ email|lower }}@domain.com
"
"146. convert ""PRODUCT NAME"" to title case, then concatenate with "" - Available"" and render it","{{ ""PRODUCT NAME"" | title }} - Available","{% set temp = title(""PRODUCT NAME"")  ~ ""- Available"" %} {% print temp %}",Correct,"
{{ ""PRODUCT NAME"" | title }} - Available
"
"148. set variable ""status"" to ""online"" if active is true, else ""offline"", then convert to uppercase and print it","{% set status = 'online' if active else 'offline' %}
{{ status.upper() }}","{% set status = """" %} {% if active%} {% set status = ""online""%} {% else %} {% set status = ""offline"" %} {% endif %} {% print upper(status) %}",Correct,
"150. set variable ""level"" to 1 if experience < 5, else 2, then convert to string and print ""Level: "" + result","{% set level = 1 if experience < 5 else 2 %}
{{ ""Level: "" + level }}","{% set level = """" %} {% if experience < 5 %} {% set level = 1 %} {% else %} {% set level = 2 %} {% endif %} {% print ""Level: "" ~ level | string %}",Correct,
"151. convert variable ""title"" to lowercase, then set ""formatted_title"" to result + "" - draft"", then print it","{% set formatted_title = title.lower() + "" - draft"" %}
{{ formatted_title }}",Error : Title is a reserved keyword in Blended. It cannot be used as variable name,Correct,
"152. set variable ""message"" to ""Welcome back"" if returning_user is true, else ""Welcome"", then print result + ""!""","{% if returning_user %}
  {{ message = ""Welcome back"" }}
{% else %}
  {{ message = ""Welcome"" }}
{% endif %}
{{ message + ""!"" }}","{% set message = """" %} {% if returning_user %} {% set message = ""Welcome back"" %} {% else %} {% set message = ""Welcome"" %} {% endif %} {% print message ~ ""!"" %}",Correct,
"153. truncate variable ""score"", then set variable ""grade"" to ""A"" if result >= 90 else ""B"", then print ""Grade: "" + grade","{% set score_truncated = score | string(length=2) %}
{% set grade = ""A"" if score_truncated >= ""90"" else ""B"" %}
Grade: {{ grade }}","{% set score_truncated = truncate(score) %} {% set grade = """" %} {% if score_truncated >= 90 %} {% set grade = ""A"" %} {% else %} {% set grade = ""B"" %} {% endif %} {% print ""Grade: "" ~ grade %}",Correct,"
{% set score_truncated = score | truncate %}
{% set grade = ""A"" if score_truncated >= 90 else ""B"" %}
{{ ""Grade: "" ~ grade }}
"
"155. set variable ""priority"" to ""high"" if urgent is true, else ""normal"", then convert to uppercase and print it","{% set priority = ""high"" if urgent else ""normal"" %}
{{ priority.upper() }}","{% set priority = """" %} {% if urgent %} {% set priority = ""high"" %} {% else %} {% set priority = ""normal"" %} {% endif %} {% print upper(priority) %}",Correct,
"156. concatenate variable ""first_name"" and ""last_name"" with space, then convert to title case and render it",{{ first_name|title }} {{ last_name|title }},"{{ title(first_name ~ "" "" ~ last_name) }}",Correct,"
{{ first_name|title }} {{ last_name|title }}
"
"157. set variable ""mode"" to ""debug"" if development is true, else ""production"", then print ""Mode: "" + mode","{% set mode = ""debug"" if development else ""production"" %}
Mode: {{ mode }}","{% set mode = """" %} {% if development %} {% set mode = ""debug"" %} {% else %} {% set mode = ""production"" %} {% endif %} {% print ""Mode: "" ~ mode %}",Correct,
"158. convert variable ""category"" to uppercase, then set ""section"" to result + "" ITEMS"", then print it","{{ category.upper() + "" ITEMS"" }}","{% set section = upper(category) ~ "" ITEMS"" %} {% print section %}",Correct,
"160. set variable ""theme"" to ""dark"" if preference == ""night"", else ""light"", then render ""Theme: "" + theme","{% set theme = ""dark"" if preference == ""night"" else ""light"" %}
Theme: {{ theme }}","{% set theme = """" %} {% if preference == ""night"" %} {% set theme = ""dark"" %} {% else %} {% set theme = ""light"" %} {% endif %} {{ ""Theme: "" ~ theme }}",Correct,
"164. convert variable ""server_name"" to lowercase, then concatenate with "".local"" and print ""Server: "" + result",{{ 'Server: ' + server_name.lower() + '.local' }},"{% set temp = ""Server: "" ~ lower(server_name) ~ "".local"" %}{% print temp %}",Correct,
"165. set variable ""notification"" to ""enabled"" if alerts is true, else ""disabled"", then print ""Alerts: "" + notification","{% set notification = ""enabled"" if alerts else ""disabled"" %}
Alerts: {{ notification }}","{% set notification = """" %} {% if alerts %} {% set notification = ""enabled"" %} {% else %} {% set notification = ""disabled"" %} {% endif %} {% set temp = ""Alerts: "" ~ notification %}{% print temp %}",Correct,
"166. truncate variable ""rating"", then set ""stars"" to result + "" stars"", then render it",{{ rating|truncate(3) }} stars,"{% set stars = truncate(rating) ~ "" stars"" %} {{ stars }}",Correct,
"168. set variable ""connection"" to ""secure"" if ssl is true, else ""insecure"", then render ""Connection: "" + connection","{% set connection = ""secure"" if ssl else ""insecure"" %}
Connection: {{ connection }}","{% set connection = """" %} {% if ssl %} {% set connection = ""secure"" %} {% else %} {% set connection = ""insecure"" %} {% endif %} {{ ""Connection: "" ~ connection }}",Correct,
"171. set variable ""visibility"" to ""public"" if shared is true, else ""private"", then render ""Status: "" + visibility","{% set visibility = ""public"" if shared else ""private"" %}
Status: {{ visibility }}","{% set visibility = """" %} {% if shared %} {% set visibility = ""public"" %} {% else %} {% set visibility = ""private"" %} {% endif %} {{ ""Status: "" ~ visibility }}",Correct,
"172. truncate variable ""duration"", then convert to string and concatenate with "" minutes"", then print it",{{ duration|truncate(0)|string }} minutes,"{% set temp = truncate(duration) | string ~ "" minutes"" %}{% print temp %}",Correct,
"174. set variable ""format"" to ""json"" if api_version > 1, else ""xml"", then print ""Format: "" + format","{% set format = ""json"" if api_version > 1 else ""xml"" %}
Format: {{ format }}","{% set format = """" %} {% if api_version > 1 %} {% set format = ""json"" %} {% else %} {% set format = ""xml"" %} {% endif %} {% set temp = ""Format: "" ~ format %}{% print temp %}",Correct,
"177. set variable ""compression"" to ""enabled"" if file_size > 1000, else ""disabled"", then render ""Compression: "" + compression","{% set compression = ""enabled"" if file_size > 1000 else ""disabled"" %}
Compression: {{ compression }}","{% set compression = """" %} {% if file_size > 1000 %} {% set compression = ""enabled"" %} {% else %} {% set compression = ""disabled"" %} {% endif %} {{ ""Compression: "" ~ compression }}",Correct,
"179. convert ""DATA MIGRATION"" to title case, then concatenate with "" Process"" and render the result","{{ ""DATA MIGRATION"".title() + "" Process"" }}","{{ title(""DATA MIGRATION"".) ~ "" Process"" }}",Correct,
"180. set variable ""encryption"" to ""on"" if secure_mode is true, else ""off"", then print ""Encryption: "" + encryption","{% set encryption = ""on"" if secure_mode else ""off"" %}
Encryption: {{ encryption }}","{% set encryption = """" %} {% if secure_mode %} {% set encryption = ""on"" %} {% else %} {% set encryption = ""off"" %} {% endif %} (% set temp = ""Encryption: "" ~ encryption %} {% print temp %}",Correct,
"182. convert variable ""service_name"" to title case, then set ""display_name"" to result + "" Service"", then print it",{{ service_name|title }} Service,"{% set display_name = title(service_name) ~ "" Service"" %} {% print display_name %}",Correct,
"182. convert variable ""service_name"" to title case, then set ""display_name"" to result + "" Service"", then print it","{% set display_name = service_name | title ~ "" Service"" %}
{{ display_name }}","{% set display_name = title(service_name) ~ "" Service"" %} {% print display_name %}",Correct,
"183. set variable ""cache"" to ""enabled"" if performance_mode is true, else ""disabled"", then render ""Cache: "" + cache","{% set cache = ""enabled"" if performance_mode else ""disabled"" %}
Cache: {{ cache }}","{% set cache = """" %} {% if performance_mode %} {% set cache = ""enabled"" %} {% else %} {% set cache = ""disabled"" %} {% endif %} {{ ""Cache: "" ~ cache }}",Correct,
"184. truncate variable ""memory_usage"", then concatenate with ""MB"" and print ""Memory: "" + result","{{ ""Memory: "" + memory_usage | truncate(3) + ""MB"" }}","{% set temp =  ""Memory: "" ~ truncate(memory_usage) ~ ""MB"" %}{% print temp %}",Correct,
"186. set variable ""logging"" to ""verbose"" if debug_mode is true, else ""minimal"", then print ""Logging: "" + logging","{% set logging = ""verbose"" if debug_mode else ""minimal"" %}
Logging: {{ logging }}","{% set logging = """" %} {% if debug_mode %} {% set logging = ""verbose"" %} {% else %} {% set logging = ""minimal"" %} {% endif %} {% set temp = ""Logging: "" ~ logging %} {% print temp %}",Correct,
"189. set variable ""backup"" to ""automatic"" if scheduled is true, else ""manual"", then render ""Backup: "" + backup","{% set backup = ""automatic"" if scheduled else ""manual"" %}
Backup: {{ backup }}","{% set backup = """" %} {% if scheduled %} {% set backup = ""automatic"" %} {% else %} {% set backup = ""manual"" %} {% endif %} {{ ""Backup: "" ~ backup }}",Correct,
"191. convert ""network connection"" to title case, then concatenate with "" Status"" and render the result","{{ ""network connection"".title() + "" Status"" }}","{{ title(""network connection"") ~ "" Status"" }}",Correct,
"192. set variable ""authentication"" to ""required"" if security_level > 2, else ""optional"", then print ""Auth: "" + authentication","{% set authentication = ""required"" if security_level > 2 else ""optional"" %}
Auth: {{ authentication }}","{% set authentication = """" %} {% if security_level > 2 %} {% set authentication = ""required"" %} {% else %} {% set authentication = ""optional"" %} {% endif %} {% set temp = ""Auth: "" ~ authentication %} {% print temp %}",Correct,
"194. convert variable ""task_name"" to title case, then set ""task_label"" to result + "" Task"", then print it",{{ task_name|title }} Task,"{% set task_label= title(task_name) ~ "" Task""%}
{% print task_label %}",Correct,
"195. set variable ""monitoring"" to ""active"" if health_check is true, else ""inactive"", then render ""Monitoring: "" + monitoring","{% set monitoring = ""active"" if health_check else ""inactive"" %}
Monitoring: {{ monitoring }}","{% set monitoring = """" %} {% if health_check %} {% set monitoring = ""active"" %} {% else %} {% set monitoring = ""inactive"" %} {% endif %} {% set temp = ""Monitoring: "" ~ monitoring %} {% print temp %}",Correct,
"196. truncate variable ""response_time"", then concatenate with ""ms"" and print ""Response: "" + result",{{ 'Response: ' + response_time | truncate(3) + 'ms' }},"{% set temp= 'Response: ' ~ truncate(response_time) ~ 'ms'%}
{% print temp%}",Correct,
"197. convert ""PROCESS COMPLETED"" to title case, then set ""completion_msg"" to result, then render it","{% set completion_msg = PROCESS_COMPLETED | title %}
{{ completion_msg }}","{% set completion_msg = title(PROCESS_COMPLETED)  %}
{{ completion_msg }}",Correct,
"198. set variable ""synchronization"" to ""enabled"" if sync_mode is true, else ""disabled"", then print ""Sync: "" + synchronization
","{% set synchronization = ""enabled"" if sync_mode else ""disabled"" %}
Sync: {{ synchronization }}","{% set synchronization = """" %} {% if sync_mode %} {% set synchronization = ""enabled"" %} {% else %} {% set synchronization = ""disabled"" %} {% endif %} {% set temp = ""Sync: "" ~ synchronization %} {% print temp %}",Correct,
"199. concatenate ""Report "" and variable ""report_id"" and "" - "" and variable ""report_date"", then render the result","{{ ""Report "" + report_id + "" - "" + report_date }}","{{ ""Report "" ~ report_id ~ "" - "" ~ report_date }}",Correct,
201. Write a template to apply floor function to the number 3.7 and print the result,{{ 3.7 | floor }},{% print floor(3.7) %},Correct,
"202. Write a template to apply floor function to variable ""price"" and render it",{{ price | floor }},{{ price | floor }},Correct,
"203. Write a template to apply floor function to 15.99 and store in variable ""rounded_price"", then print it",{% set rounded_price = 15.99 | floor %} {{rounded_price}},{% set rounded_price = 15.99 | floor %} {% print rounded_price %},Correct,
"204. Write a template to apply floor function to variable ""temperature"" and print ""Temperature: "" + result","{% set temp =  temperature | floor%}
Temperature: {{temp}}","{% set temp =  ""Temperature: "" ~ floor(temperature) | string %}
{% print temp %}",Correct,
"205. Write a template to get the length of array variable ""items"" and print the result",{{ items | length }},"{% set temp =  length(items) %}
{% print temp %}",Correct,
"206. Write a template to get the length of object variable ""user_data"" and render it",{{ user_data | length }},{{ user_data | length }},Correct,
"207. Write a template to get the length of variable ""shopping_cart"" and store in ""item_count"", then print ""Items: "" + item_count","{% set item_count =  shopping_cart | length%}
Items: {{item_count}}","{% set item_count =  length(shopping_cart) %}
{% set temp =  ""Items: "" ~ item_count | string %}
{% print temp %}",Correct,
"208. Write a template to get the length of variable ""config_options"" and render""Total options: "" + result","{% set temp =  config_options | length%}
Total options: {{temp}}","{% set temp =  ""Total options: "" ~ length(config_options) | string%}
{{temp}}",Correct,
"209. Write a template to calculate the mean of array variable ""scores"" and print the result",{{ scores | mean }},{% print mean(scores) %},Correct,
"210. Write a template to calculate the mean of variable ""temperatures"" and render it",{{ temperature | mean }},{{ temperature | mean }},Correct,
"211. Write a template to calculate the mean of array variable ""ratings"" and store in ""average_rating"", then print ""Average: "" + average_rating","{% set average_rating =  rating | mean%}
Average: {{average_rating}}","{% set average_rating=  mean(rating) %}
{% set temp =  ""Average: "" ~ average_rating | string %}
{% print temp %}",Correct,
"212. Write a template to calculate the mean of variable ""test_scores"" and print ""Mean score: "" + result","{% set temp =  test_scores| mean%}
Mean score: {{temp}}","{% set temp =  ""Mean score: "" ~ mean(test_scores) | string%}
{{temp}}",Correct,
"213. Write a template to create a range from 1 to 10 and store in variable ""numbers"", then print the length of numbers","{% set numbers = range(1, 11) %}
{{ numbers | length }}","{% set numbers = range(1, 11) %}
{% print length(numbers) %}",Correct,
"214. Write a template to create a range from 0 to variable ""max_count"" and render the result","{{ range(0, max_count) }}","{{ range(0, max_count) }}",Correct,
"215. Write a template to create a range from variable ""start"" to variable ""end"" and store in ""sequence"", then print ""Range created""","{% set sequence = range(start, end) %}
Range created","{% set sequence = range(start, end) %}
{% print ""Range created"" %}",Correct,
"216. Write a template to create a range from 5 to 20 and store in variable ""range_values"", then print ""Range: "" + length of range_values","{% set range_values = range(5, 21) %}
Range: {{ range_values | length }}","{% set range_values =  range(5, 21) %}
{% set temp =  ""Range: "" ~ length(range_values)| string %}
{% print temp %}",Correct,
"217. Write a template to convert string ""red"" to RGB color using rgbcolor function and print the result","{{ ""red"" | rgbcolor }}","{% print rgbcolor(""red"")  %}",Correct,
"218. Write a template to convert variable ""color_name"" to RGB color and render it",{{ color_name | rgbcolor }},{{ color_name | rgbcolor }},Correct,
"219. Write a template to convert color array variable ""rgb_values"" to RGB color using rgbcolor function and store in ""final_color"", then print it","{% set final_color = rgb_values | rgbcolor %}
{{ final_color }}","{% set final_color = rgbcolor(rgb_values) %}
{% print final_color %}",Correct,
"220. Write a template to convert string ""blue"" to RGB color and print ""Color: "" + result","Color: {{ ""blue"" | rgbcolor }}","{% set temp =  ""Color: "" ~ rgbcolor(""blue"")%}
{% print temp %}",Correct,
"14. set variable ""message"" to ""Good morning"" and print it","{% set message = ""Good morning"" %}
{{ message }}","{% set message = ""Good morning"" %}
{% print message %}",Incorrect,"
{{ message = ""Good morning"" }}
{{ message }}
"
"15. set variable ""count"" to 10 and render it","{% set count = 10 }
{{ count }}","{% set count = 10 }
{{ count }}",Incorrect,"
{{ count = 10 }}
{{ count }}
"
"22. convert variable ""id"" to string and store in ""user_id""",{% set user_id = id | string  },{% set user_id = id | string  },Incorrect,"
{{ user_id = str(id) }}
"
"25. set variable ""status"" to ""active"" and print it","{% set status = ""active"" %}
{{ status }}","{% set status = ""active"" %}
{% print status %}",Incorrect,"
{{ status = ""active"" }}
{{ status }}
"
"32. concatenate variable ""prefix"" and ""suffix"" and render it",{{ prefix }}{{ suffix }},{{ prefix ~ suffix }},Incorrect,"
{{ prefix }}{{ suffix }}
"
"33. join ""Thank"" and ""You"" with a space and print it","{{ ""Thank"" ~ "" ""  ~""You"" }}","{% set temp = ""Thank"" ~  ""You"" % }{% print temp %}",Incorrect,"
{{ ""Thank"" ~ ""You"" ~ "" "" }}
"
"34. set variable ""level"" to 1 and render it",{% set level = 1 %} {{level}},{% set level = 1 %} {{level}},Incorrect,"
{{ level = 1 }}
"
"41. convert variable ""score"" to string and store in ""result""",{% set result = score | string % },{% set result = score | string % },Incorrect,"
{{ result = str(score) }}
"
"43. join variable ""city"" and ""country"", convert it to upper case and print it.",{{ (city + country) | upper }},{% print  upper(city ~ country) %},Incorrect,"
{{ city }} {{ country }}
"
"44. set variable ""priority"" to ""high"" and render it after converting to upper case","{% set priority = ""high"" %}
{{ priority | upper }}
","{% set priority = ""high"" %}
{{ upper(priority) }}",Incorrect,"
{{ priority = ""high"" }}
{{ priority }}
"
"142. set variable ""discount"" to 10 if is_member is true, else 0, then render it","{% set discount = 10 if is_member else 0 %}
{{ discount }}
","{% set discount = """" %} {% if is_member %} {% set discount = 10 %} {% else %} {% set discount = 0 %} {% endif %} {% print discount %}",Incorrect,"
{% set discount = is_member ? 10 : 0 %}
{{ discount }}
"
"147. truncate variable ""price"", convert to string, then concatenate with "" USD"" and print it",{{ price | truncate | string }},{% set temp = truncate(price) | string %} {% print temp %},Incorrect,"
{{ price|float|int|str }} USD
"
"149. concatenate ""Hello "" and variable ""name"", then convert the result to title case and render it","{{ (""Hello "" + name) | title }}","{{ title(""Hello "" ~ name)  }}",Incorrect,"
{{ name|title }}
"
"154. convert ""CUSTOMER SUPPORT"" to title case, then set variable ""department"" to obtained result, then render with "" Team""","{% set department = ""CUSTOMER SUPPORT"" | title %}
{{ department ~ "" Team"" }}","{% set department = title(""CUSTOMER SUPPORT"") %} {{ department ~ "" Team"" }}",Incorrect,"
{{ CUSTOMER_SUPPORT|title }} Team
"
"159. truncate variable ""amount"", then concatenate with "" dollars"" and store in ""formatted_amount"", then print it","{% set formatted_amount = amount | truncate ~ "" dollars"" %}
{{ formatted_amount }}","{% set formatted_amount = truncate(amount) ~ "" dollars"" %} {% print formatted_amount %}",Incorrect,"
{{ formatted_amount = amount | truncate(3) + "" dollars"" }}
{{ formatted_amount }}
"
"161. convert ""user profile settings"" to title case, then set ""page_title"" to result, then print it","{% set page_title = ""user profile settings"" | title %}
{{ page_title }}","{% set page_title = title(""user profile settings"") %} {% print page_title %}",Incorrect,"
{{ user_profile_settings.title()|title }}<br>
{{ page_title = user_profile_settings.title()|title }}
{{ page_title }}
"
"162. set variable ""size"" to ""large"" if quantity > 10, else ""small"", then convert to uppercase and render it","{% set size = 'large' if quantity > 10 else 'small' }
{{ size.upper() }}","{% set size = """" %} {% if quantity > 10 %} {% set size = ""large"" %} {% else %} {% set size = ""small"" %} {% endif %} {{ upper(size) }}",Incorrect,"
{{ size = 'large' if quantity > 10 else 'small' }}
{{ size.upper() }}
"
"163. concatenate ""Order #"" and variable ""order_id"", then set ""order_label"" to result, then print it","{% set order_label = ""Order #"" + order_id %}
{{ order_label }}","{% set order_label = ""Order #"" ~ order_id %} {% print order_label %}",Incorrect,"
{{ order_label = ""Order #"" + order_id }}
{{ order_label }}
"
"167. convert ""BACKUP COMPLETED"" to title case, then set ""status_msg"" to result, then print it","{% set status_msg = ""BACKUP COMPLETED"".title() %}
{{status_msg }}","{% set status_msg = title(""BACKUP COMPLETED"") %}
{% print status_msg %}",Incorrect,"
{{ status_msg = ""BACKUP COMPLETED"".title() }}
{{ print(status_msg) }}
"
"169. concatenate variable ""protocol"" and ""://"" and variable ""hostname"", then print ""URL: "" + result","{{ ""URL: "" ~ protocol ~ ""://"" ~ hostname }}","{% set temp = ""URL: "" ~ protocol ~ ""://"" ~ hostname %}
{% print temp %}",Incorrect,"
{{ protocol }}://{{ hostname }}
"
"170. convert variable ""error_type"" to uppercase, then set ""error_label"" to ""ERROR: "" + result, then print it","{% set error_label = ""ERROR: "" + error_type | upper %}
{{ error_label }}","{% set error_label = ""ERROR: "" ~ upper(error_type) %} {% print error_label %}",Incorrect,"
{{ error_type.upper() }}: {{ 'ERROR: ' + error_type.upper() }}
"
"173. convert ""system administrator"" to title case, then set ""role_name"" to result, then render it","{% set role_name = ""system administrator"" | title %}
{{ role_name }}","{% set role_name = title(""system administrator"") %} {{ role_name }}",Incorrect,"
{{ system_administrator|title }}|role_name
"
"175. concatenate ""Build "" and variable ""build_number"", then convert to uppercase and render it",{{ ('Build ' + build_number) | upper }},{{ upper('Build ' ~ build_number) }},Incorrect,"
{{ 'Build ' + build_number | upper }}
"
"176. convert variable ""environment"" to lowercase, then set variable ""env_name"" to result + ""_env"", then print it","{% set env_name = environment | lower ~ ""_env"" %}
{{ env_name }}","{% set env_name = lower(environment) ~ ""_env"" %} {% print env_name %}",Incorrect,"
{{ env_name = environment.lower() + ""_env"" }}
{{ env_name }}
"
"178. truncate variable ""version_number"", then set variable ""version"" to ""v"" + result, then print it","{% set version = ""v"" ~ version_number | truncate %}
{{ version }}","{% set version = ""v"" ~ truncate(version_number) %} {% print version %}",Incorrect,"
{{ version_number | truncate }} | set version = ""v"" + result | print
"
"181. concatenate variable ""user_type"" and ""_user"", then convert to uppercase and render ""Type: "" + result","{{ ""Type: "" ~ (user_type ~ ""_user"") | upper }}","{% set temp =  ""Type: "" ~ upper(user_type ~ ""_user"") %}{% print temp %}",Incorrect,
"185. convert ""CONFIGURATION LOADED"" to title case, then set ""config_status"" to result, then render it","{% set config_status = ""CONFIGURATION LOADED"" | title %}
{{ config_status }}","{% set config_status = title(""CONFIGURATION LOADED"") %} {{ config_status }}",Incorrect,"
{{ ""CONFIGURATION LOADED"".title() | set('config_status') }}
"
"187. concatenate ""Session "" and variable ""session_id"", then convert to lowercase and render it","{{ (""Session "" ~ session_id) | lower }}","{{ lower(""Session "" ~ session_id) }}",Incorrect,"
{{ session_id|lower|concat('Session ') }}
"
"188. convert variable ""module_name"" to uppercase, then set variable ""module_label"" to ""MODULE: "" + result, then print it","{% set module_label = ""MODULE: "" ~ module_name | upper %}
{{ module_label }}","{% set module_label = ""MODULE: "" ~ upper(module_name) %} {% print module_label %}",Incorrect,"
{{ module_name.upper() }}: {{ 'MODULE: ' + module_name.upper() }}
"
